2025-11-11T19:42:36.374Z | login | user:76029bc1-4d11-48cf-bdf8-1873bb8fcfd0
2025-11-11T19:43:19.021Z | login | user:a37227d7-c20c-4401-94d2-a25c7be0c17a
2025-11-13T10:08:38.289Z | register | user:25ea756c-94de-496a-98d2-a30143974631
2025-11-13T10:08:49.839Z | login | user:25ea756c-94de-496a-98d2-a30143974631
2025-11-13T10:19:46.937Z | login | user:25ea756c-94de-496a-98d2-a30143974631
2025-11-13T10:20:38.037Z | login | user:25ea756c-94de-496a-98d2-a30143974631
2025-11-13T10:25:09.890Z | login | user:25ea756c-94de-496a-98d2-a30143974631
2025-11-13T10:37:47.736Z | login | user:25ea756c-94de-496a-98d2-a30143974631
2025-11-13T10:58:13.413Z | register | user:81f17724-309a-4846-bd32-d097b7ed2025
2025-11-13T10:58:26.229Z | login | user:81f17724-309a-4846-bd32-d097b7ed2025
2025-11-13T11:30:14.089Z | create-election | user:81f17724-309a-4846-bd32-d097b7ed2025 | election:c6325d4d-7083-4bdd-9108-caa0f5d36106
2025-11-13T11:30:18.304Z | create-election | user:81f17724-309a-4846-bd32-d097b7ed2025 | election:6fec4468-297f-49f8-bc36-87391257c324
2025-11-13T12:22:57.119Z | login | user:81f17724-309a-4846-bd32-d097b7ed2025
2025-11-13T14:45:27.807Z | register | user:2ee88e3f-1063-474b-a6a4-0c9330a94975
2025-11-13T14:45:38.329Z | login | user:2ee88e3f-1063-474b-a6a4-0c9330a94975
2025-11-13T15:05:51.240Z | register | user:6ff1d2dd-6d17-462f-8e24-e303c1854cd3
2025-11-13T15:06:03.277Z | login | user:6ff1d2dd-6d17-462f-8e24-e303c1854cd3
2025-11-13T15:23:04.886Z | register | user:a5641bcd-5aa3-4ef2-81fb-f26321c83bae
2025-11-13T15:23:54.772Z | login | user:81f17724-309a-4846-bd32-d097b7ed2025
2025-11-13T15:25:48.797Z | login | user:81f17724-309a-4846-bd32-d097b7ed2025
